HpGP-GRE-022	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-036	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-GRE-039	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-040	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-041	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-042	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GRE-043	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GRE-044	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-GRE-046	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GTM-004	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-GTM-007	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GTM-010	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-HON-002	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-HON-003	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-004	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-005	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-006	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-007	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-009	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-010	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-011	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-012	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-013	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-HON-014	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-HON-015	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-HON-016	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-017	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-018	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-019	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-HON-020	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-021	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-023	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-024	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-025	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-028	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-001	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-HON-026	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-HON-027	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-IDN-001	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-IDN-002	100.00	1	1	S1	1321940	                    Helicobacter pylori UM066
HpGP-IDN-003	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-IDN-004	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-IDN-005	100.00	1	1	S1	1321940	                    Helicobacter pylori UM066
HpGP-IDN-006	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-IDN-007	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-IDN-008	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-IDN-009	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-IDN-010	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-IDN-011	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-IND-001	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IND-002	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-IND-003	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-IND-004	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IND-005	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-IND-006	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-IND-007	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IND-008	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IND-009	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IND-010	100.00	1	1	S1	1055530	                    Helicobacter pylori SNT49
HpGP-IRN-001	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-IRN-002	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-IRN-003	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-IRN-009	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-ISL-001	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-002	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-003	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-004	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-005	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-006	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-ISL-007	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
